word,emotion
brawl,fear
brazen,anger
break,surprise
breakup,sadness
bribery,disgust
bridal,anticipation
bridal,joy
bridal,trust
bride,anticipation
bride,joy
bride,trust
bridegroom,anticipation
bridegroom,joy
bridegroom,trust
bridesmaid,joy
bridesmaid,trust
brigade,fear
brighten,joy
brighten,surprise
brighten,trust
brilliant,anticipation
brilliant,joy
brilliant,trust
brimstone,anger
brimstone,fear
broadside,anticipation
broil,anger
broke,fear
broke,sadness
broken,anger
broken,fear
broken,sadness
brothel,disgust
brother,trust
brotherhood,trust
brotherly,anticipation
brotherly,joy
brotherly,trust
bruise,anticipation
brunt,anger
brutal,anger
brutal,fear
brutality,anger
brutality,fear
brute,anger
brute,fear
brute,sadness
buck,fear
buck,surprise
buddy,anticipation
buddy,joy
buddy,trust
budget,trust
buffet,anger
bug,disgust
bug,fear
bugaboo,anger
bugaboo,fear
bugaboo,sadness
bugle,anticipation
bully,anger
bully,fear
bum,disgust
bum,sadness
bummer,anger
bummer,disgust
bunker,fear
burdensome,fear
burdensome,sadness
bureaucracy,trust
bureaucrat,disgust
burglar,disgust
burglar,fear
burial,anger
burial,fear
burial,sadness
buried,fear
buried,sadness
burke,anger
burke,disgust
burke,fear
burke,sadness
burlesque,surprise
burnt,disgust
bursary,trust
bury,sadness
buss,joy
busted,anger
busted,fear
butcher,anger
butcher,disgust
butcher,fear
butler,trust
buzz,anticipation
buzz,fear
bye,anticipation
bylaw,trust
cabal,fear
cabinet,trust
cable,surprise
cacophony,anger
cacophony,disgust
cad,anger
cad,disgust
cadaver,disgust
cadaver,fear
cadaver,sadness
cadaver,surprise
cage,sadness
calamity,sadness
calculation,anticipation
calculator,trust
calf,joy
calf,trust
callous,anger
callous,disgust
calls,anticipation
calls,trust
camouflage,surprise
camouflaged,surprise
campaigning,anger
campaigning,fear
cancel,sadness
cancer,anger
cancer,disgust
cancer,fear
cancer,sadness
candid,anticipation
candid,joy
candid,surprise
candid,trust
cane,anger
cane,fear
canker,anger
canker,disgust
cannibal,disgust
cannibal,fear
cannibalism,disgust
cannon,anger
cannon,fear
canons,trust
cap,anticipation
cap,trust
captivate,anticipation
captivate,joy
captivate,surprise
captivate,trust
captive,fear
captive,sadness
captivity,sadness
captor,fear
carcass,disgust
carcass,fear
carcass,sadness
carcinoma,fear
carcinoma,sadness
cardiomyopathy,fear
cardiomyopathy,sadness
career,anticipation
carelessness,anger
carelessness,disgust
caretaker,trust
caries,disgust
carnage,anger
carnage,disgust
carnage,fear
carnage,sadness
carnage,surprise
carnivorous,fear
carol,joy
carol,trust
cartridge,fear
case,fear
case,sadness
cash,anger
cash,anticipation
cash,fear
cash,joy
cash,trust
cashier,trust
casket,fear
casket,sadness
casualty,anger
casualty,fear
casualty,sadness
cataract,anticipation
cataract,fear
cataract,sadness
catastrophe,anger
catastrophe,disgust
catastrophe,fear
catastrophe,sadness
catastrophe,surprise
catch,surprise
catechism,disgust
cathedral,joy
cathedral,trust
caution,anger
caution,anticipation
caution,fear
cautionary,fear
cautious,anticipation
cautious,fear
cautious,trust
cautiously,fear
celebrated,anticipation
celebrated,joy
celebrating,anticipation
celebrating,joy
celebration,anticipation
celebration,joy
celebration,surprise
celebration,trust
celebrity,anger
celebrity,anticipation
celebrity,disgust
celebrity,joy
celebrity,surprise
celebrity,trust
celestial,anticipation
celestial,joy
cement,anticipation
cement,trust
cemetery,fear
cemetery,sadness
censor,anger
censor,disgust
censor,fear
censor,trust
center,trust
ceremony,joy
ceremony,surprise
certify,trust
cess,disgust
chaff,anger
chaff,fear
chagrin,disgust
chagrin,sadness
chairman,trust
chairwoman,trust
challenge,anger
challenge,fear
champion,anticipation
champion,joy
champion,trust
chance,surprise
chancellor,trust
change,fear
changeable,anticipation
changeable,surprise
chant,anger
chant,anticipation
chant,joy
chant,surprise
chaos,anger
chaos,fear
chaos,sadness
chaotic,anger
chaplain,trust
chargeable,fear
chargeable,sadness
charitable,anticipation
charitable,joy
charitable,trust
charity,joy
charmed,joy
chart,trust
chasm,fear
chastity,anticipation
chastity,trust
cheat,anger
cheat,disgust
checklist,trust
cheer,anticipation
cheer,joy
cheer,surprise
cheer,trust
cheerful,joy
cheerful,surprise
cheerfulness,anticipation
cheerfulness,joy
cheerfulness,trust
cheering,joy
cheery,anticipation
cheery,joy
chemist,trust
cherish,anticipation
cherish,joy
cherish,surprise
cherish,trust
chicane,anticipation
chicane,surprise
chicane,trust
chicken,fear
child,anticipation
child,joy
childhood,joy
chimera,fear
chimera,surprise
chirp,joy
chocolate,anticipation
chocolate,joy
chocolate,trust
choir,joy
choir,trust
choke,anger
choke,sadness
cholera,disgust
cholera,fear
cholera,sadness
choral,joy
chronic,sadness
chronicle,trust
chuckle,anticipation
chuckle,joy
chuckle,surprise
chuckle,trust
church,anticipation
church,joy
church,trust
civilization,trust
civilized,joy
civilized,trust
claimant,anger
claimant,disgust
clamor,anger
clamor,anticipation
clamor,disgust
clamor,surprise
clan,trust
clap,anticipation
clap,joy
clap,trust
clash,anger
clashing,anger
clashing,fear
classics,joy
claw,anger
claw,fear
clean,joy
clean,trust
clearance,trust
cleave,fear
clerical,trust
cliff,fear
climax,anticipation
climax,joy
climax,surprise
climax,trust
clock,anticipation
closeness,joy
closeness,trust
closure,anticipation
closure,joy
closure,sadness
clouded,sadness
cloudiness,fear
cloudy,sadness
clown,anticipation
clown,joy
clown,surprise
clue,anticipation
clumsy,disgust
coach,trust
coalesce,trust
coax,trust
cobra,fear
cocaine,sadness
coerce,anger
coerce,disgust
coerce,fear
coercion,anger
coercion,disgust
coercion,fear
coercion,sadness
coexist,trust
coexisting,trust
coffin,fear
coffin,sadness
cogent,trust
cohesion,trust
cohesive,trust
coincidence,surprise
coldness,anger
coldness,disgust
coldness,fear
coldness,sadness
collaborator,trust
collapse,disgust
collapse,fear
collapse,sadness
collateral,trust
collectively,trust
collision,anger
collusion,anger
collusion,disgust
collusion,fear
collusion,sadness
colonel,trust
coma,fear
coma,sadness
comatose,fear
comatose,sadness
combat,anger
combat,fear
combatant,anger
combatant,fear
combative,anger
combative,fear
comfort,anticipation
comfort,joy
comfort,trust
coming,anticipation
commandant,trust
commanding,trust
commemorate,anticipation
commemorate,joy
commemorate,sadness
commemoration,anticipation
commemoration,joy
commemorative,anticipation
commendable,joy
commendable,trust
commerce,trust
commission,trust
committal,sadness
committed,trust
committee,trust
commodore,trust
commonplace,anticipation
commonplace,trust
commonwealth,trust
commotion,anger
communicate,trust
communication,trust
communion,joy
communion,trust
communism,anger
communism,fear
communism,sadness
compact,trust
companion,joy
companion,trust
compass,trust
compassion,fear
compensate,anticipation
compensate,joy
compensate,surprise
compensate,trust
competence,trust
competency,trust
competent,trust
competition,anticipation
complain,anger
complain,sadness
complaint,anger
complement,anticipation
complement,joy
complement,surprise
complement,trust
completing,anticipation
completing,joy
completion,anticipation
completion,joy
compliance,trust
complicate,anger
compliment,anticipation
compliment,joy
compliment,surprise
compliment,trust
compost,disgust
compress,anger
comptroller,trust
compulsion,anger
comrade,trust
conceal,sadness
concealed,anticipation
concealed,fear
concealed,surprise
concealment,anger
concealment,anticipation
concealment,fear
concerned,fear
concerned,sadness
conciliation,joy
conciliation,trust
concord,trust
concordance,trust
concussion,anger
concussion,sadness
condemn,anger
condemnation,anger
condemnation,anticipation
condemnation,disgust
condemnation,fear
condemnation,sadness
condescension,anger
condescension,disgust
condescension,sadness
condolence,sadness
confederate,trust
confess,trust
confession,anticipation
confession,fear
confession,sadness
confession,surprise
confessional,fear
confessional,trust
confide,trust
confidence,fear
confidence,joy
confidence,trust
confident,joy
confident,trust
confidential,trust
confidentially,trust
confine,anger
confine,fear
confine,sadness
confined,anger
confined,disgust
confined,fear
confined,sadness
confinement,anger
confinement,fear
confinement,sadness
confirmation,trust
confirmed,trust
confiscate,anger
confiscate,sadness
conflagration,anger
conflagration,fear
conflict,anger
conflict,fear
conflict,sadness
conformity,trust
confront,anger
confusion,anger
confusion,fear
conglomerate,trust
congratulatory,joy
congregation,trust
congress,disgust
congress,trust
congressman,trust
congruence,trust
conjecture,anticipation
conjure,anticipation
conjure,surprise
connective,trust
connoisseur,joy
connoisseur,trust
conquest,anger
conquest,fear
conscience,trust
conscientious,trust
consecration,anticipation
consecration,joy
consecration,sadness
consecration,trust
consequent,anticipation
conservation,anticipation
conservation,trust
considerate,trust
consistency,trust
console,sadness
consort,trust
conspiracy,fear
conspirator,anger
conspirator,anticipation
conspirator,disgust
conspirator,fear
conspire,fear
constable,trust
constancy,trust
constant,trust
constantly,trust
consternation,anger
consternation,fear
constipation,disgust
constitute,trust
constitutional,trust
constrain,fear
constraint,anger
constraint,fear
constraint,sadness
consul,trust
consult,trust
contagion,anticipation
contagion,disgust
contagion,fear
contagious,disgust
contagious,fear
contaminate,disgust
contaminated,disgust
contaminated,fear
contaminated,sadness
contamination,disgust
contempt,anger
contempt,disgust
contempt,fear
contemptible,anger
contemptible,disgust
contemptuous,anger
content,joy
content,trust
contentious,anger
contentious,disgust
